id,vehicle_id,latitude,longitude,speed,heading,accuracy,timestamp,province_id,district_id
319401,1,6.92710000,79.86120000,35.50,270.00,5.00,Wed Apr 29 2026 18:22:20 GMT+0530 (India Standard Time),2,5
319400,200,6.13600606,81.11342344,49.00,273.74,7.53,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),3,9
316206,198,6.93230521,79.89021138,51.45,109.53,6.72,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),1,1
317803,199,7.47707926,80.63421475,53.75,270.30,7.98,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),2,5
308221,193,7.74207588,81.67549278,42.07,137.94,4.46,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),5,16
309818,194,7.47344601,80.35897526,41.58,70.62,9.41,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),6,18
311415,195,7.91202392,80.99662342,48.76,261.16,3.12,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),7,21
287460,180,6.93881881,79.84200823,47.02,7.47,5.81,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),1,1
289057,181,7.47737233,80.60966276,51.88,146.21,8.29,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),2,5
298639,187,6.88166293,81.34115260,40.37,175.56,6.42,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),8,23
300236,188,6.70858281,80.37586826,57.50,154.78,4.70,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),9,24
313012,196,7.01910275,81.06514872,40.65,118.92,7.86,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),8,22
314609,197,7.25497923,80.36361902,50.52,83.70,6.62,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),9,25
293848,184,7.73488838,81.66946352,52.12,316.88,4.48,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),5,16
295445,185,8.04766002,79.82638718,51.29,301.29,4.93,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),6,19
297042,186,8.32806083,80.40012070,55.63,82.11,7.71,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),7,20
305027,191,6.11973795,81.12328917,50.17,9.45,4.17,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),3,9
306624,192,8.98137322,79.92571007,46.82,341.55,3.82,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),4,12
290654,182,6.10732924,81.11024872,49.57,310.92,3.67,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),3,9
292251,183,9.27642769,80.82471997,52.07,132.80,9.17,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),4,13
301833,189,6.91436590,79.85262638,43.87,306.01,5.92,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),1,1
303430,190,7.46364640,80.63338651,59.43,324.15,8.93,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),2,5
257117,161,7.22554638,80.35536631,48.09,153.58,3.43,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),9,25
258714,162,6.91095377,79.85379398,40.51,10.36,4.10,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),1,1
245938,154,7.45610283,80.62708963,52.76,326.19,6.59,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),2,5
247535,155,6.12466308,81.11699512,55.38,300.19,7.78,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),3,9
234759,147,8.97959888,79.89228928,51.09,237.07,9.62,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),4,12
236356,148,7.74303137,81.69738152,45.48,147.25,6.73,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),5,16
242744,152,6.70892865,80.39687085,51.86,288.68,6.23,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),9,24
244341,153,6.95026117,79.86452064,53.40,245.61,3.86,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),1,1
253923,159,7.94423077,81.03803022,48.56,322.60,4.17,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),7,21
255520,160,6.98111327,81.03586619,41.15,261.53,9.89,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),8,22
237953,149,8.04987746,79.81068220,44.60,116.43,3.33,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),6,19
239550,150,8.32648742,80.40218527,48.17,12.98,9.67,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),7,20
241147,151,6.88560574,81.34297210,46.44,166.39,4.24,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),8,23
249132,156,9.36920900,80.36761623,51.15,343.87,9.55,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),4,11
250729,157,7.74060587,81.68111158,56.10,117.97,4.16,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),5,16
252326,158,7.49605415,80.35356110,56.33,205.81,6.88,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),6,18
178864,112,7.72942033,81.66549418,43.37,240.97,3.94,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),5,16
180461,113,8.03786032,79.81231976,59.97,22.10,9.66,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),6,19
167685,105,7.94912808,81.02497845,54.01,106.48,5.71,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),7,21
169282,106,6.98722807,81.05031485,53.18,301.29,3.87,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),8,22
170879,107,7.25506224,80.33184463,49.73,253.54,6.44,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),9,25
156506,98,6.70879288,80.37585436,52.32,4.16,3.37,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),9,24
158103,99,6.93290868,79.85981625,43.10,156.69,8.92,Wed Apr 29 2026 18:18:27 GMT+0530 (India Standard Time),1,1
